,location,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,2010,Name_2010,lat,lng
82,"Aliceville, AL",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3194.0,2851.0,3207.0,3009.0,2567.0,0.0,0,33.12956810000001,-88.15141659999999
83,"Aliquippa, PA",0.0,0.0,0.0,0.0,2931.0,27116.0,27023.0,26132.0,26369.0,22277.0,17094.0,13374.0,11734.0,9438.0,Aliquippa city,40.636733500000005,-80.24006059999999
84,"Aliso Viejo, CA",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47823.0,Aliso Viejo city,33.565038,-117.727116
85,"Allegan, MI",0.0,2669.0,2667.0,3419.0,3637.0,3941.0,4526.0,4801.0,4822.0,4516.0,4576.0,4547.0,4838.0,4998.0,Allegan city,42.5291989,-85.8553031
86,"Allen Park, MI",0.0,0.0,0.0,0.0,0.0,0.0,3487.0,12329.0,37494.0,40747.0,34196.0,31092.0,29376.0,28210.0,Allen Park city,42.2575385,-83.2110375
87,"Allen, TX",0.0,0.0,0.0,0.0,0.0,0.0,600.0,0.0,700.0,1900.0,8314.0,18309.0,43554.0,84246.0,Allen city,33.1031744,-96.6705503
88,"Allendale, NJ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4092.0,6240.0,5901.0,5900.0,6699.0,6505.0,Allendale borough,41.0414858,-74.129032
89,"Allendale, SC",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3114.0,3620.0,4400.0,4410.0,4052.0,3482.0,Allendale town,33.0079345,-81.3084405
90,"Allentown, PA",18063.0,25228.0,35416.0,51913.0,73502.0,92563.0,96904.0,106756.0,108347.0,109871.0,103758.0,105090.0,106632.0,118032.0,Allentown city,40.6084305,-75.4901833
91,"Alliance, NE",0.0,0.0,2535.0,3105.0,4591.0,6669.0,6253.0,7891.0,7845.0,6862.0,9869.0,9765.0,8959.0,8491.0,Alliance city,42.1016344,-102.87214499999999
92,"Alliance, OH",4636.0,7607.0,8974.0,15083.0,21603.0,23047.0,22405.0,26161.0,28362.0,26547.0,24315.0,23376.0,23253.0,22322.0,Alliance city,40.915336200000006,-81.1059309
93,"Allouez, WI",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13753.0,14882.0,14431.0,15443.0,13975.0,Allouez village,44.477492299999994,-88.01621440000001
94,"Alma, AR",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2755.0,2959.0,4160.0,5419.0,Alma city,35.4778653,-94.2218752
95,"Alma, GA",0.0,0.0,0.0,0.0,0.0,0.0,0.0,2588.0,3515.0,3756.0,3819.0,3663.0,3236.0,3466.0,Alma city,31.5393701,-82.4623557
96,"Alma, MI",0.0,0.0,0.0,2757.0,7542.0,6734.0,7202.0,8341.0,8978.0,9790.0,9652.0,9034.0,9275.0,9383.0,Alma city,43.3789199,-84.65972740000001
97,"Almont, MI",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2803.0,2674.0,Almont village,42.9205842,-83.0449348
98,"Alorton, IL",0.0,0.0,0.0,0.0,0.0,0.0,0.0,2547.0,3282.0,3573.0,0.0,2960.0,2749.0,0.0,0,38.589773,-90.1201087
99,"Alpena, MI",6153.0,11283.0,11802.0,12706.0,11101.0,12166.0,12808.0,13135.0,14682.0,13805.0,12214.0,11354.0,11304.0,10483.0,Alpena city,45.0616794,-83.43275279999999
100,"Alpharetta, GA",0.0,0.0,0.0,0.0,0.0,0.0,600.0,0.0,1300.0,2500.0,3128.0,13002.0,34854.0,57551.0,Alpharetta city,34.07537620000001,-84.2940899
101,"Alpine, TX",0.0,0.0,0.0,0.0,0.0,3495.0,3866.0,5261.0,4740.0,5971.0,5465.0,5637.0,5786.0,5905.0,Alpine city,30.3584919,-103.6610115
102,"Alpine, UT",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2649.0,3492.0,7146.0,9555.0,Alpine city,40.4532834,-111.7779865
103,"Alsip, IL",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3770.0,11608.0,17134.0,18227.0,19725.0,19277.0,Alsip village,41.6689223,-87.73866190000001
104,"Altamonte Springs, FL",0.0,0.0,0.0,0.0,0.0,0.0,600.0,0.0,1200.0,4391.0,21105.0,34879.0,41200.0,41496.0,Altamonte Springs city,28.6611089,-81.36562430000001
105,"Altavista, VA",0.0,0.0,0.0,0.0,0.0,0.0,2919.0,3332.0,3299.0,2708.0,3849.0,3686.0,3425.0,3450.0,Altavista town,37.1118094,-79.285579
106,"Alton, IL",8975.0,10294.0,14210.0,17528.0,24682.0,30151.0,31255.0,32550.0,43047.0,39700.0,34171.0,32905.0,30496.0,27865.0,Alton city,38.890603799999994,-90.1842764
107,"Alton, TX",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2732.0,3069.0,4384.0,12341.0,Alton city,26.287293100000003,-98.3133487
108,"Altoona, IA",0.0,0.0,300.0,0.0,0.0,0.0,600.0,0.0,1500.0,2854.0,5764.0,7191.0,10345.0,14541.0,Altoona city,41.644155700000006,-93.4646571
109,"Altoona, PA",19710.0,30337.0,38973.0,52127.0,60331.0,82054.0,80214.0,77177.0,69407.0,63115.0,57078.0,51881.0,49523.0,46320.0,Altoona city,40.5186809,-78.3947359
110,"Altoona, WI",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2842.0,4393.0,5889.0,6698.0,6706.0,Altoona city,44.8046825,-91.44321479999999
111,"Alturas, CA",148.0,0.0,0.0,916.0,979.0,2338.0,2090.0,2819.0,2819.0,2799.0,3025.0,3231.0,2892.0,2827.0,Alturas city,41.4871146,-120.54245549999999
112,"Altus, OK",0.0,0.0,0.0,4821.0,4522.0,8439.0,8593.0,9735.0,21225.0,23302.0,23101.0,21910.0,21447.0,19813.0,Altus city,34.6420729006,-99.35775848850001
113,"Alva, OK",0.0,0.0,0.0,3688.0,3913.0,5121.0,5055.0,6505.0,6258.0,7440.0,6416.0,5495.0,5288.0,4945.0,Alva city,36.8089782006,-98.69025678850001
114,"Alvarado, TX",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2701.0,2918.0,3288.0,3785.0,Alvarado city,32.406531199999996,-97.2116782
115,"Alvin, TX",0.0,0.0,0.0,0.0,0.0,0.0,3087.0,3701.0,5643.0,10671.0,16515.0,19220.0,21413.0,24236.0,Alvin city,29.4238472,-95.2441009
116,"Amarillo, TX",0.0,500.0,1400.0,9957.0,15494.0,43132.0,51686.0,74246.0,137969.0,127010.0,149230.0,157615.0,173627.0,190695.0,Amarillo city,35.2219971,-101.8312969
117,"Amberley, OH",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2951.0,5574.0,3442.0,3108.0,3425.0,3585.0,Amberley village,39.2047809,-84.42799699999999
118,"Ambler, PA",0.0,0.0,0.0,2649.0,3094.0,3944.0,3953.0,4565.0,6765.0,7800.0,6628.0,6609.0,6426.0,6417.0,Ambler borough,40.1545535,-75.22156509999999
119,"Amboy, IL",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2561.0,2500.0,Amboy city,41.7141997,-89.3287061
120,"Ambridge, PA",0.0,0.0,0.0,5205.0,12730.0,20227.0,18968.0,16429.0,13865.0,11324.0,9575.0,8133.0,7769.0,7050.0,Ambridge borough,40.589233899999996,-80.22506
121,"Amelia, OH",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2752.0,4801.0,Amelia village,39.0283966,-84.2177136
122,"American Canyon, CA",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5712.0,7706.0,9774.0,19454.0,American Canyon city,38.1749179,-122.2608044
123,"American Falls, ID",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2769.0,3626.0,3757.0,4111.0,4457.0,American Falls city,42.786022700000004,-112.8544377
